,YearsCodePro,PreviousSalary,ComputerSkills,YearsCodeBeforePro,LabelEmploymentStatus
879,5,29604.0,13,2,1
880,13,21144.0,16,2,1
881,0,6852.0,6,4,0
882,3,24300.0,6,1,1
883,13,54049.0,11,18,0
884,2,38778.0,26,5,1
885,4,130000.0,8,4,0
887,6,70264.0,17,9,1
888,2,13032.0,19,10,1
889,10,54049.0,10,3,0
890,15,141900.0,14,3,0
891,6,64860.0,7,6,0
892,24,129718.0,12,6,1
893,12,23735.0,10,3,1
894,4,62268.0,13,2,1
896,2,23735.0,10,8,0
898,2,18848.0,17,3,1
899,4,10486.0,11,5,0
900,4,11520.0,10,1,0
901,6,81074.0,13,2,0
902,11,99450.0,14,5,1
903,8,72000.0,14,12,1
904,6,72900.0,4,1,0
905,5,63528.0,9,4,0
906,10,56723.0,5,6,0
907,4,15564.0,10,10,0
908,5,55776.0,18,6,1
909,13,97288.0,21,5,1
911,6,29302.0,26,7,1
912,9,5136.0,14,1,1
913,9,70000.0,11,9,0
914,10,103408.0,21,8,1
915,4,140000.0,6,9,0
917,0,60132.0,11,2,1
918,9,82155.0,6,8,0
919,1,27612.0,10,4,0
921,10,121010.0,11,8,0
923,2,24200.0,22,7,1
924,4,26436.0,11,1,0
925,4,42000.0,18,4,1
926,4,27923.0,5,4,0
927,1,45401.0,14,3,0
930,10,11544.0,13,4,1
931,10,72744.0,12,6,0
933,4,45401.0,23,11,1
934,0,42960.0,6,12,0
935,0,8016.0,17,5,1
936,5,37834.0,12,13,0
938,2,1716.0,19,3,1
939,11,64630.0,7,7,1
940,5,56723.0,7,6,1
941,4,25644.0,16,9,0
942,13,155111.0,20,2,1
943,11,86478.0,9,5,0
944,15,6852.0,9,11,0
946,22,149000.0,8,1,1
947,5,150000.0,9,25,1
948,6,63252.0,15,1,1
949,24,51552.0,5,16,0
951,5,84924.0,15,5,1
952,6,56211.0,8,2,0
953,4,7200.0,20,3,0
954,2,82308.0,16,9,1
955,7,118685.0,13,3,1
956,4,108100.0,27,3,1
957,0,8288.0,5,3,0
958,9,39201.0,18,5,1
959,10,62828.0,8,11,0
961,6,28536.0,10,2,0
962,6,125000.0,4,4,0
964,15,164604.0,7,10,0
965,0,1140.0,11,2,1
966,20,64630.0,11,2,1
967,15,81433.0,5,15,0
968,15,43404.0,13,13,1
969,4,165000.0,18,6,1
970,4,17868.0,14,6,1
971,12,62697.0,8,8,0
972,28,180000.0,10,9,1
973,1,12000.0,7,3,0
974,7,58373.0,19,2,0
975,3,31908.0,16,3,1
976,4,65000.0,9,4,1
977,2,54049.0,9,6,0
978,7,75669.0,4,2,0
979,11,23856.0,11,3,1
980,13,77831.0,17,13,1
981,5,150000.0,18,7,0
982,2,36753.0,5,4,0
983,7,75240.0,14,8,0
984,2,13092.0,5,6,0
985,2,170000.0,13,4,1
986,4,112068.0,14,5,1
987,13,38532.0,15,3,1
988,25,1.0,16,5,1
989,2,39347.0,14,8,1
990,26,91883.0,3,9,0
991,11,41880.0,16,4,0
992,6,16754.0,12,5,0
993,5,27072.0,16,2,0
994,5,35000.0,9,1,0
995,2,11544.0,3,4,0
996,5,35280.0,12,4,1
997,15,95126.0,25,5,1
998,15,81074.0,12,10,0
1000,3,48644.0,17,6,1
1001,5,19728.0,8,2,0
1002,8,90000.0,10,9,0
1003,13,129718.0,14,4,1
1004,7,56832.0,19,3,1
1006,13,92964.0,11,7,0
1007,10,45401.0,16,4,1
1008,4,91350.0,15,2,0
1009,3,14676.0,9,12,0
1010,3,25656.0,9,4,0
1013,8,27923.0,10,3,1
1014,0,56211.0,4,6,0
1015,7,184092.0,16,8,0
1016,9,39900.0,19,4,1
1017,8,42000.0,21,3,1
1018,12,76750.0,7,4,0
1019,5,39553.0,10,3,1
1020,3,130000.0,26,6,1
1022,7,54049.0,25,23,1
1025,15,95000.0,31,6,1
1026,24,177000.0,9,6,1
1027,2,54049.0,17,2,0
1028,2,18156.0,4,3,0
1029,6,54049.0,7,6,0
1030,33,100728.0,3,15,0
1031,21,60505.0,13,13,1
1032,1,6981.0,21,4,1
1034,8,60505.0,15,6,1
1035,2,55000.0,8,1,0
1037,6,68102.0,15,3,0
1039,5,93540.0,10,3,0
1040,8,52380.0,17,6,1
1042,7,4750.0,11,8,0
1043,23,72636.0,10,4,0
1044,9,77556.0,11,9,1
1045,1,51429.0,2,2,0
1046,3,90000.0,3,1,0
1047,6,43239.0,30,2,1
1048,12,135000.0,19,4,1
1049,8,5388.0,7,3,0
1050,13,52942.0,12,3,0
1051,2,36000.0,8,1,0
1052,4,116333.0,7,5,0
1053,8,130000.0,29,17,1
1054,20,194620.0,15,15,1
1055,2,7788.0,10,3,0
1056,22,51900.0,8,3,0
1057,0,10020.0,16,7,0
1058,15,45401.0,13,5,1
1059,7,97504.0,3,2,0
1060,5,63778.0,10,7,0
1061,9,43200.0,15,3,1
1062,5,142185.0,13,5,0
1063,6,64630.0,13,4,0
1064,15,152473.0,15,15,1
1065,12,49725.0,6,7,0
1066,4,6283.0,10,2,1
1067,7,60141.0,4,23,0
1068,5,54049.0,12,13,0
1069,5,16488.0,8,1,0
1070,4,25824.0,23,6,0
1071,7,70264.0,11,18,1
